PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_785	chr14	65095380	65095773	+	334	NA	intron (NM_018788, intron 1 of 6)	intron (NM_018788, intron 1 of 6)	2530	NM_018788	54616	Mm.103748	NM_018788	ENSMUSG00000021978	Extl3	2900009G18Rik|AU040105|Ext1l|mKIAA0519	exostoses (multiple)-like 3	protein-coding
Sanchez_et_al_peak_800	chr14	76217884	76218154	+	329	NA	Intergenic	Intergenic	-33443	NR_152108	72893	Mm.233565	NR_152108		2900040C04Rik	-	RIKEN cDNA 2900040C04 gene	ncRNA
Sanchez_et_al_peak_1542	chr2	170192909	170193154	+	329	NA	non-coding (NR_157067, exon 2 of 2)	non-coding (NR_157067, exon 2 of 2)	1022	NR_157067	100502923	Mm.44078	NR_157067	ENSMUSG00000097514	Gm17619	-	predicted gene, 17619	ncRNA
Sanchez_et_al_peak_1288	chr19	10434849	10435083	+	329	NA	intron (NM_173068, intron 5 of 10)	intron (NM_173068, intron 5 of 10)	22481	NM_001111140	278795	Mm.490638	NM_001111140	ENSMUSG00000090291	Lrrc10b	Gm705|SerdinR	leucine rich repeat containing 10B	protein-coding
Sanchez_et_al_peak_221	chr10	79853976	79854366	+	314	NA	promoter-TSS (NM_008956)	promoter-TSS (NM_008956)	-261	NM_001283013	19205	Mm.265610	NM_008956	ENSMUSG00000006498	Ptbp1	AA407203|AL033359|HNRPI|PTB-1|PTB2|PTB3|PTB4|Ptb|pPTB	polypyrimidine tract binding protein 1	protein-coding
Sanchez_et_al_peak_1673	chr3	138000793	138001017	+	314	NA	Intergenic	Intergenic	-19356	NM_001310753	26377	Mm.254835	NM_011932	ENSMUSG00000028159	Dapp1	Bam32	dual adaptor for phosphotyrosine and 3-phosphoinositides 1	protein-coding
Sanchez_et_al_peak_2336	chr7	117286144	117286353	+	311	NA	Intergenic	Intergenic	-94731	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
Sanchez_et_al_peak_808	chr14	115042270	115042597	+	300	NA	Intergenic	Intergenic	-1238	NR_029785	723905		NR_029785	ENSMUSG00000065508	Mir17	Mirn17|mir-17|mmu-mir-17	microRNA 17	ncRNA
Sanchez_et_al_peak_1608	chr3	88296813	88297070	+	299	NA	promoter-TSS (NM_009836)	promoter-TSS (NM_009836)	58	NM_001357024	76927	Mm.273330	NM_029801	ENSMUSG00000010538	Tsacc	1700021C14Rik|SIP	TSSK6 activating co-chaperone	protein-coding
Sanchez_et_al_peak_959	chr15	100212494	100212753	+	286	NA	intron (NM_172819, intron 32 of 32)	RSINE1|SINE|B4	-15236	NM_007497	11908	Mm.676	NM_007497	ENSMUSG00000023027	Atf1	-	activating transcription factor 1	protein-coding
Sanchez_et_al_peak_2476	chr8	107065458	107065733	+	286	NA	promoter-TSS (NM_025458)	promoter-TSS (NM_025458)	49	NM_025458	66269	Mm.23032	NM_025458	ENSMUSG00000031919	Tmed6	1810015P03Rik|1810018I24Rik	transmembrane p24 trafficking protein 6	protein-coding
Sanchez_et_al_peak_41	chr1	61402463	61402695	+	286	NA	Intergenic	Intergenic	24147	NR_040483	77341	Mm.402964	NR_040483	ENSMUSG00000085447	9530026F06Rik	-	RIKEN cDNA 9530026F06 gene	ncRNA
Sanchez_et_al_peak_2322	chr7	110851667	110851910	+	282	NA	3' UTR (NM_053247, exon 6 of 6)	3' UTR (NM_053247, exon 6 of 6)	-7407	NM_025999	67150	Mm.96867	NM_025999	ENSMUSG00000030788	Rnf141	2610110L04Rik|AA792898|AU022812|ZFP36|ZNF230	ring finger protein 141	protein-coding
Sanchez_et_al_peak_703	chr13	94122959	94123215	+	278	NA	intron (NM_172589, intron 2 of 3)	intron (NM_172589, intron 2 of 3)	65291	NM_172589	218454	Mm.316553	NM_172589	ENSMUSG00000045312	Lhfpl2	6030465B15|AI447312|AW050335|mKIAA0206|vgim	lipoma HMGIC fusion partner-like 2	protein-coding
Sanchez_et_al_peak_2666	chrX	75096521	75096777	+	272	NA	exon (NM_001359411, exon 2 of 16)	exon (NM_001359411, exon 2 of 16)	795	NM_001030307	245474	Mm.291062	NM_001030307	ENSMUSG00000031403	Dkc1	BC068171	dyskeratosis congenita 1, dyskerin	protein-coding
Sanchez_et_al_peak_2270	chr7	63956487	63956705	+	272	NA	Intergenic	Intergenic	-17681	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
Sanchez_et_al_peak_338	chr11	44461576	44461805	+	272	NA	intron (NM_024475, intron 6 of 10)	intron (NM_024475, intron 6 of 10)	8858	NM_024475	79560	Mm.338784	NM_024475	ENSMUSG00000041231	Ublcp1	4930527B16Rik|8430435I17Rik|BC002236	ubiquitin-like domain containing CTD phosphatase 1	protein-coding
Sanchez_et_al_peak_92	chr1	133131018	133131265	+	272	NA	promoter-TSS (NM_133819)	promoter-TSS (NM_133819)	-25	NM_133819	108954	Mm.293628	NM_133819	ENSMUSG00000046062	Ppp1r15b	1810033K10Rik|AI606441|C530022L24Rik|CReP	protein phosphatase 1, regulatory subunit 15B	protein-coding
Sanchez_et_al_peak_2387	chr7	142533367	142533618	+	272	NA	intron (NM_011288, intron 1 of 4)	intron (NM_011288, intron 1 of 4)	460	NM_011288	19935	Mm.12144	NM_011288	ENSMUSG00000037772	Mrpl23	L23mrp|Rpl23|Rpl23l	mitochondrial ribosomal protein L23	protein-coding
Sanchez_et_al_peak_1682	chr3	144537075	144537288	+	265	NA	intron (NM_001355234, intron 1 of 6)	RCHARR1|DNA|hAT-Charlie	33035	NM_001355234	23908	Mm.12863	NM_011828	ENSMUSG00000040151	Hs2st1	2OST|AW214369|Hs2st|mKIAA0448	heparan sulfate 2-O-sulfotransferase 1	protein-coding
Sanchez_et_al_peak_133	chr1	172310086	172310301	+	264	NA	Intergenic	Intergenic	-2174	NM_080419	140559	Mm.271717	NM_080419	ENSMUSG00000038034	Igsf8	ESTM34|EWI-2|KCT-4|PGRL	immunoglobulin superfamily, member 8	protein-coding
Sanchez_et_al_peak_2319	chr7	110164157	110164450	+	263	NA	Intergenic	Intergenic	42244	NM_009516	22390	Mm.287173	NM_009516	ENSMUSG00000031016	Wee1	Wee1A	WEE 1 homolog 1 (S. pombe)	protein-coding
Sanchez_et_al_peak_1709	chr4	46452644	46452856	+	260	NA	intron (NM_130889, intron 1 of 6)	intron (NM_130889, intron 1 of 6)	1824	NM_130889	67628	Mm.263913	NM_130889	ENSMUSG00000028333	Anp32b	2410015B15Rik|PAL31|PHAPI2a|Ssp29	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	protein-coding
Sanchez_et_al_peak_349	chr11	51615218	51615453	+	259	NA	Intergenic	Intergenic	-4438	NM_001364736	52530	Mm.28203	NM_026631	ENSMUSG00000001056	Nhp2	2410130M07Rik|D11Ertd175e|Nola2	NHP2 ribonucleoprotein	protein-coding
Sanchez_et_al_peak_671	chr13	54589867	54590173	+	258	NA	promoter-TSS (NM_025933)	promoter-TSS (NM_025933)	54	NM_178605	28126	Mm.439993	NM_178605	ENSMUSG00000025869	Nop16	AA409471|D13Wsu177e	NOP16 nucleolar protein	protein-coding
Sanchez_et_al_peak_2498	chr8	122330495	122330722	+	258	NA	intron (NM_009569, intron 4 of 9)	intron (NM_009569, intron 4 of 9)	32220	NM_133202	170732	Mm.154808	NM_133202	ENSMUSG00000039079	Trhr2	TRH-R2	thyrotropin releasing hormone receptor 2	protein-coding
Sanchez_et_al_peak_1611	chr3	88553009	88553267	+	258	NA	promoter-TSS (NM_033526)	promoter-TSS (NM_033526)	-187	NM_031248	83409	Mm.41680	NM_031248	ENSMUSG00000028062	Lamtor2	2010111E04Rik|AL022628|Mapbpip|P14|Rab25|Robld3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	protein-coding
Sanchez_et_al_peak_1362	chr19	58666561	58666781	+	258	NA	Intergenic	Intergenic	-3694	NM_026925	69060	Mm.20407	NM_026925	ENSMUSG00000046008	Pnlip	1810007A24Rik|PL|PTL	pancreatic lipase	protein-coding
Sanchez_et_al_peak_28	chr1	51849653	51849944	+	258	NA	intron (NM_001161817, intron 3 of 30)	intron (NM_001161817, intron 3 of 30)	66180	NM_001290982	17912	Mm.3390	NM_010863	ENSMUSG00000018417	Myo1b	AA406997|MIH-L|MMIa	myosin IB	protein-coding
Sanchez_et_al_peak_216	chr10	77033701	77033976	+	258	NA	intron (NM_031196, intron 1 of 5)	intron (NM_031196, intron 1 of 5)	626	NM_031196	20509	Mm.265060	NM_031196	ENSMUSG00000001436	Slc19a1	AI323572|RFC|RFC-1|RFC1	solute carrier family 19 (folate transporter), member 1	protein-coding
Sanchez_et_al_peak_952	chr15	98892250	98892467	+	258	NA	3' UTR (NM_007857, exon 3 of 3)	3' UTR (NM_007857, exon 3 of 3)	6182	NM_007857	13363	Mm.324688	NM_007857	ENSMUSG00000023000	Dhh	C78960	desert hedgehog	protein-coding
Sanchez_et_al_peak_2252	chr7	45403612	45403833	+	258	NA	Intergenic	B2_Mm2|SINE|B2	-2238	NM_010596	16495	Mm.12955	NM_010596	ENSMUSG00000038201	Kcna7	Kv1.7	potassium voltage-gated channel, shaker-related subfamily, member 7	protein-coding
Sanchez_et_al_peak_2563	chr9	57420626	57420932	+	258	NA	intron (NR_152146, intron 3 of 5)	intron (NR_152146, intron 3 of 5)	18957	NM_001357912	66812	Mm.250508	NM_176831	ENSMUSG00000063849	Ppcdc	1810057I13Rik|8430432M10Rik	phosphopantothenoylcysteine decarboxylase	protein-coding
Sanchez_et_al_peak_1513	chr2	155727725	155728029	+	258	NA	intron (NM_145537, intron 2 of 10)	intron (NM_145537, intron 2 of 10)	1598	NM_145537	108687	Mm.273706	NM_145537	ENSMUSG00000038312	Edem2	9530090G24Rik|AI327354	ER degradation enhancer, mannosidase alpha-like 2	protein-coding
Sanchez_et_al_peak_939	chr15	89310300	89310515	+	258	NA	intron (NM_001081030, intron 1 of 39)	intron (NM_001081030, intron 1 of 39)	-4675	NR_105924	102465981		NR_105924	ENSMUSG00000098442	Mir6959	Gm27807|mmu-mir-6959	microRNA 6959	ncRNA
Sanchez_et_al_peak_723	chr13	109992914	109993096	+	255	NA	Intergenic	Intergenic	89196	NR_035442	100316683		NR_035442	ENSMUSG00000084651	Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
Sanchez_et_al_peak_933	chr15	85669473	85669690	+	249	NA	Intergenic	Intergenic	-34192	NR_110483	102800312	Mm.33117	NR_110483		Lncppara	Lincppara|Mirlet7bhg|linc-Ppara	long noncoding RNA near Ppara	ncRNA
Sanchez_et_al_peak_1749	chr4	117139380	117139559	+	247	NA	Intergenic	B2_Mm2|SINE|B2	-5506	NM_013807	12795	Mm.259022	NM_013807	ENSMUSG00000028680	Plk3	Cnk|Fnk|PLK-3|PRK	polo like kinase 3	protein-coding
Sanchez_et_al_peak_837	chr15	34495152	34495385	+	247	NA	promoter-TSS (NM_008287)	promoter-TSS (NM_008287)	-22	NM_008287	15473	Mm.491154	NM_008287	ENSMUSG00000022323	Rida	HR12|HRP12|Hrsp12	reactive intermediate imine deaminase A homolog	protein-coding
Sanchez_et_al_peak_1995	chr5	148978198	148978365	+	247	NA	Intergenic	Intergenic	16933	NR_102383	319982	Mm.33303	NR_102383	ENSMUSG00000106951	5930430L01Rik	-	RIKEN cDNA 5930430L01 gene	ncRNA
Sanchez_et_al_peak_1520	chr2	158361093	158361663	+	245	NA	intron (NR_015463, intron 1 of 5)	CpG	131	NR_015463	68108	Mm.119198	NR_015463		Snhg17	9430008C03Rik	small nucleolar RNA host gene 17	ncRNA
Sanchez_et_al_peak_714	chr13	98768401	98768638	+	245	NA	intron (NM_172591, intron 8 of 25)	intron (NM_172591, intron 8 of 25)	46930	NM_172591	218503	Mm.23928	NM_172591	ENSMUSG00000041685	Fcho2	5832424M12Rik|AA387320	FCH domain only 2	protein-coding
Sanchez_et_al_peak_1084	chr17	24878089	24878285	+	245	NA	promoter-TSS (NM_008340)	promoter-TSS (NM_008340)	-44	NM_001364896	16005	Mm.3135	NM_008340	ENSMUSG00000046070	Igfals	ALS|Albs	insulin-like growth factor binding protein, acid labile subunit	protein-coding
Sanchez_et_al_peak_2635	chr9	107587972	107588233	+	245	NA	TTS (NM_178020)	TTS (NM_178020)	384	NM_025903	15983	Mm.215335	NM_025903	ENSMUSG00000010048	Ifrd2	1810034A24Rik|AA470234|AI838527|SKMc15	interferon-related developmental regulator 2	protein-coding
Sanchez_et_al_peak_334	chr11	33162252	33162464	+	245	NA	intron (NM_001252261, intron 1 of 9)	intron (NM_001252261, intron 1 of 9)	848	NM_001252261	18148	Mm.485384	NM_008722	ENSMUSG00000057113	Npm1	B23|NO38|Npm	nucleophosmin 1	protein-coding
Sanchez_et_al_peak_973	chr16	4558017	4558198	+	245	NA	intron (NM_031182, intron 1 of 6)	intron (NM_031182, intron 1 of 6)	1613	NM_031182	83383	Mm.273210	NM_031182	ENSMUSG00000005718	Tfap4	AI642933|AP-4|D930048N17Rik|Tcfap4|bHLHc41	transcription factor AP4	protein-coding
Sanchez_et_al_peak_1599	chr3	87905798	87906083	+	245	NA	promoter-TSS (NM_001331052)	promoter-TSS (NM_001331052)	-381	NM_008231	15191	Mm.292208	NM_008231	ENSMUSG00000004897	Hdgf	AI118077|D3Ertd299e	heparin binding growth factor	protein-coding
Sanchez_et_al_peak_662	chr13	44676397	44676622	+	245	NA	Intergenic	Intergenic	-54265	NM_001205044	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
Sanchez_et_al_peak_1779	chr4	133910541	133910926	+	245	NA	Intergenic	CpG	-22936	NM_009097	20111	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding
Sanchez_et_al_peak_1919	chr5	110828051	110828253	+	242	NA	TTS (NM_001359835)	TTS (NM_001359835)	11625	NM_153571	100900	Mm.200231	NM_153571	ENSMUSG00000043510	Hscb	AI325508|AW049829|Hsc20	HscB iron-sulfur cluster co-chaperone	protein-coding
Sanchez_et_al_peak_2302	chr7	96796500	96796709	+	238	NA	intron (NR_045874, intron 2 of 3)	intron (NR_045874, intron 2 of 3)	4945	NR_045874	791381	Mm.402112	NR_045874	ENSMUSG00000053049	Gm15413	-	predicted gene 15413	ncRNA
Sanchez_et_al_peak_1125	chr17	39842989	39846171	+	237	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	1583	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
Sanchez_et_al_peak_2121	chr6	94999167	94999362	+	235	NA	Intergenic	Intergenic	55430	NR_040761	78773	Mm.67065	NR_040761	ENSMUSG00000108187	4930511E03Rik	-	RIKEN cDNA 4930511E03 gene	ncRNA
Sanchez_et_al_peak_90	chr1	132465779	132465963	+	232	NA	3' UTR (NM_172516, exon 13 of 13)	3' UTR (NM_172516, exon 13 of 13)	-11496	NM_172517	213464	Mm.132868	NM_172517	ENSMUSG00000026439	Rbbp5	4933411J24Rik|C330016J05	retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit	protein-coding
Sanchez_et_al_peak_296	chr11	3963862	3964073	+	232	NA	promoter-TSS (NM_022889)	promoter-TSS (NM_022889)	-8	NM_022889	64934	Mm.28659	NM_022889	ENSMUSG00000020430	Pes1	-	pescadillo ribosomal biogenesis factor 1	protein-coding
Sanchez_et_al_peak_2353	chr7	127691698	127692038	+	232	NA	intron (NM_001347652, intron 5 of 5)	intron (NM_001347652, intron 5 of 5)	-16619	NR_030428	791073		NR_030428	ENSMUSG00000076454	Mir762	Mirn762|mir-762|mmu-mir-762	microRNA 762	ncRNA
Sanchez_et_al_peak_1787	chr4	137437392	137437631	+	232	NA	Intergenic	Intergenic	-6991	NM_026419	67868	Mm.297477	NM_026419	ENSMUSG00000023433	Cela3b	0910001F22Rik|2310074F01Rik|AI504000|Ela3|Ela3b	chymotrypsin-like elastase family, member 3B	protein-coding
Sanchez_et_al_peak_1110	chr17	31193405	31193606	+	232	NA	exon (NM_001163776, exon 5 of 13)	exon (NM_001163776, exon 5 of 13)	4244	NM_080727	140765	Mm.214638	NM_080727	ENSMUSG00000024034	Tmprss3	-	transmembrane protease, serine 3	protein-coding
Sanchez_et_al_peak_380	chr11	69921672	69921901	+	232	NA	promoter-TSS (NM_001166589)	promoter-TSS (NM_001166589)	172	NM_001166593	276770	Mm.18026	NM_181582	ENSMUSG00000078812	Eif5a	AA410058|D19Wsu54e|Eif4d|Eif5a1|eIF-4D|eIF-5A|eIF-5A-1|eIF-5A1	eukaryotic translation initiation factor 5A	protein-coding
Sanchez_et_al_peak_2557	chr9	55430244	55430533	+	232	NA	exon (NM_001357568, exon 9 of 11)	exon (NM_001357568, exon 9 of 11)	81855	NM_145615	110842	Mm.290853	NM_145615	ENSMUSG00000032314	Etfa	2010200I21Rik|D9Ertd394e	electron transferring flavoprotein, alpha polypeptide	protein-coding
Sanchez_et_al_peak_1483	chr2	132064326	132064500	+	232	NA	intron (NM_001355430, intron 12 of 15)	intron (NM_001355430, intron 12 of 15)	-34089	NM_001362866	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding
Sanchez_et_al_peak_1918	chr5	110797809	110798034	+	232	NA	intron (NM_009469, intron 5 of 27)	intron (NM_009469, intron 5 of 27)	12160	NM_009469	22241	Mm.271898	NM_009469	ENSMUSG00000029512	Ulk1	AU041434|Unc51.1|mKIAA0722	unc-51 like kinase 1	protein-coding
Sanchez_et_al_peak_545	chr12	21286784	21286973	+	232	NA	promoter-TSS (NM_008403)	promoter-TSS (NM_008403)	581	NM_001364373	54451	Mm.356778	NM_018813	ENSMUSG00000054309	Cpsf3	-	cleavage and polyadenylation specificity factor 3	protein-coding
Sanchez_et_al_peak_1382	chr2	26225353	26225581	+	232	NA	intron (NM_153559, intron 3 of 12)	intron (NM_153559, intron 3 of 12)	11932	NM_153559	227638	Mm.116769	NM_153559	ENSMUSG00000036327	Qsox2	BC030934|Qscn6l1|Soxn	quiescin Q6 sulfhydryl oxidase 2	protein-coding
Sanchez_et_al_peak_278	chr10	121626469	121626903	+	232	NA	promoter-TSS (NM_001359618)	promoter-TSS (NM_001359618)	-354	NM_001081056	73192	Mm.25042	NM_001081056	ENSMUSG00000034667	Xpot	1110004L07Rik|3110065H13Rik|AI452076|C79645|EXPORTIN-T	exportin, tRNA (nuclear export receptor for tRNAs)	protein-coding
Sanchez_et_al_peak_1128	chr17	39847595	39848357	+	229	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	4979	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
Sanchez_et_al_peak_1607	chr3	88296301	88296609	+	226	NA	promoter-TSS (NM_009836)	promoter-TSS (NM_009836)	383	NM_029801	76927	Mm.273330	NM_029801	ENSMUSG00000010538	Tsacc	1700021C14Rik|SIP	TSSK6 activating co-chaperone	protein-coding
Sanchez_et_al_peak_1457	chr2	103795927	103796145	+	225	NA	intron (NM_001111290, intron 1 of 17)	intron (NM_001111290, intron 1 of 17)	1042	NM_001111290	53872	Mm.427589	NM_016739	ENSMUSG00000027184	Caprin1	AL022980|Caprin-1|Gpiap|Gpiap1|Mmgpip137|P137|rng105	cell cycle associated protein 1	protein-coding
Sanchez_et_al_peak_1079	chr17	17374238	17374659	+	225	NA	5' UTR (NM_025934, exon 1 of 10)	5' UTR (NM_025934, exon 1 of 10)	116	NM_025934	67045	Mm.35117	NM_025934	ENSMUSG00000116564	Riok2	2010110K24Rik|2410085M17Rik	RIO kinase 2	protein-coding
Sanchez_et_al_peak_2091	chr6	86218084	86218482	+	225	NA	intron (NM_031199, intron 1 of 5)	intron (NM_031199, intron 1 of 5)	23056	NM_031199	21802	Mm.137222	NM_031199	ENSMUSG00000029999	Tgfa	wa-1|wa1	transforming growth factor alpha	protein-coding
Sanchez_et_al_peak_932	chr15	84424542	84424822	+	224	NA	intron (NM_001163145, intron 1 of 4)	RMER17B2|LTR|ERVK	21928	NM_001347543	72301	Mm.275387	NM_001163145	ENSMUSG00000062760	Shisal1	1810041L15Rik|Kiaa1644	shisa like 1	protein-coding
Sanchez_et_al_peak_2664	chrX	53024373	53024597	+	219	NA	Intergenic	Intergenic	23593	NR_030498	751532		NR_030498	ENSMUSG00000076050	Mir450b	Mirn450b|mir-450b	microRNA 450b	ncRNA
Sanchez_et_al_peak_434	chr11	88551121	88551309	+	219	NA	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	-68036	NR_131025	68397	Mm.426889	NR_131025		0610039H22Rik	-	RIKEN cDNA 0610039H22 gene	ncRNA
Sanchez_et_al_peak_87	chr1	131821105	131821270	+	219	NA	3' UTR (NM_001357478, exon 14 of 14)	3' UTR (NM_001357478, exon 14 of 14)	-6825	NM_173865	98396	Mm.389181	NM_173865	ENSMUSG00000013275	Slc41a1	AI573938|B230315F01Rik	solute carrier family 41, member 1	protein-coding
Sanchez_et_al_peak_2210	chr7	19841714	19841972	+	219	NA	Intergenic	B4A|SINE|B4	-10160	NM_001270489	100502736	Mm.445354	NM_001270489	ENSMUSG00000092216	Gm19345	-	predicted gene, 19345	protein-coding
Sanchez_et_al_peak_363	chr11	58008535	58008796	+	219	NA	promoter-TSS (NM_028451)	promoter-TSS (NM_028451)	-399	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding
Sanchez_et_al_peak_1364	chr19	58727804	58728050	+	219	NA	promoter-TSS (NM_018874)	promoter-TSS (NM_018874)	-960	NM_018874	18946	Mm.10753	NM_018874	ENSMUSG00000042179	Pnliprp1	Plrp1	pancreatic lipase related protein 1	protein-coding
Sanchez_et_al_peak_780	chr14	63164180	63164439	+	219	NA	intron (NM_001360211, intron 2 of 7)	intron (NM_001360211, intron 2 of 7)	13578	NM_001360211	14137	Mm.474432	NM_010191	ENSMUSG00000021273	Fdft1	SQS|SS	farnesyl diphosphate farnesyl transferase 1	protein-coding
Sanchez_et_al_peak_1955	chr5	136102223	136102493	+	219	NA	exon (NM_133914, exon 13 of 21)	exon (NM_133914, exon 13 of 21)	-3164	NR_106002	102465626		NR_106002	ENSMUSG00000099003	Mir7035	Gm27661|mmu-mir-7035	microRNA 7035	ncRNA
Sanchez_et_al_peak_471	chr11	101315927	101316252	+	219	NA	promoter-TSS (NM_011192)	promoter-TSS (NM_011192)	-124	NM_011192	19192	Mm.288477	NM_011192	ENSMUSG00000078652	Psme3	AA410043|AU020960|Ki|PA28gamma|REGgamma|pa28g	proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki)	protein-coding
